keys,en,es,pl,de,ru,uk,zh_CN,zh_TW
ABILITY_NAME_BOOST,Boost,Boost,,Boost,Усиление,Посилити,增强,加速
ABILITY_FIELD_LABEL,Ability,Habilidad,,Fähigkeit,Способность,Здатність,能力,能力
ABILITY_NAME_INVISIBLE,Invisible,Invisible,,Unsichtbar,Невидимость,Невидимий,隐身,隱形
ABILITY_NAME_ZAP,Zap!,¡Zap!,,Zap!,Разряд,Бум!,击杀！,轟炸！
ALERT_LEAVE_MATCH,You will leave the session and won't be able to to rejoin,Saldrás de la sesión y no podrás volver a entrar,,Du verlässt die Sitzung und kannst nicht wieder beitreten.,Ты покинешь сеанс и не сможешь присоединиться повторно,Ти залишиш сесію та не зможеш приєднатися знову,您将退出会话，且无法重新加入,你將離開此配對，且無法再回來。
ALERT_LEAVE_MATCH_HOST,This will end the match for everyone and return to the match setup screen.,Esto terminará el partido para todos y volverá a la pantalla de configuración de la partida.,,Du beendest das Match für alle und kehrst zum Bildschirm für die Spielvorbereitung zurück.,"Матч будет завершен для всех, и ты вернешься к экрану настройки матча.",На цьому матч завершиться для всіх та відбудеться повернення до екрану налаштування матчу.,这将结束所有人的比赛，并返回到比赛设置界面。,這將會結束所有人的對戰，並且回到對戰設定畫面。
ALERT_LEAVE_MATCH_SETUP_HOST,This will end the match for everyone.,Esto terminará la partida para todos,,Dadurch wird das Match für alle beendet.,Матч будет завершен для всех.,На цьому матч завершиться для всіх.,这将结束所有人的比赛。,這將會結束所有人的對戰。
ALERT_LEAVE_MATCH_TITLE,Are you sure you want to exit?,¿Estás seguro de que quieres salir?,,Wirklich beenden?,Ты точно хочешь выйти?,"Ви впевнені, що хочете вийти?",您确定要退出吗？,你確定想要離開嗎？
ART_STYLE_NAME_ATARI,Atari 2600,Atari 2600,,Atari 2600,Atari 2600,Консоль Atari 2600,雅达利2600,雅加達2600
ART_STYLE_NAME_CLASSIC,Classic,Clásico,,Klassisch,Классика,Класична,经典,經典
ART_STYLE_NAME_SNES,SNES,SNES,,SNES,SNES,Ігрова приставка SNES,超级任天堂,超級任天堂
ART_STYLE_NAME_VECTOR,Vector,Vector,,Vektor,Векторная,Вектор,矢量,矢量跑酷
BUTTON_MATCHMAKER,Match,Coincidir,,Match,Подобрать,Матч,比赛,對戰
BUTTON_CANCEL,Cancel,Cancelar,,Abbrechen,Отмена,Скасувати,取消,取消
BUTTON_COPY,Copy,Copiar,,Kopieren,Копировать,Копіювати,复制,複製
BUTTON_CREATE_ACCOUNT,Create Account,Crear cuenta,,Konto erstellen,Создать аккаунт,Створити акаунт,创建账户,建立帳號
BUTTON_CREATE_MATCH,Create,Crear,,Erstellen,Создать,Створити,创建,建立
BUTTON_DONE,Done,Donar,,Fertig,Готово,Зроблено,完成,完成
BUTTON_JOIN_MATCH,Join,Unirse,,Beitreten,Вступить,Приєднатися,加入,參加
BUTTON_LOGIN,Login,Acceso,,Anmelden,Войти,Логін,登录,登入
BUTTON_NEXT,Next,Siguiente,,Weiter,Далее,Наступне,下一个,下一個
BUTTON_OK,OK,OK,,Okay,ОК,ГАРАЗД,好的,OK
BUTTON_PASTE,Paste,Pegar,,Einfügen,Вставить,Вставити,粘贴,貼上
BUTTON_READY,I'm Ready!,¡Estoy listo!,,Ich bin bereit!,Я готов!,Я готовий!,我准备好了！,我準備好了！
BUTTON_RESET_PASSWORD,Reset Password,Restablecer contraseña,,Passwort zurücksetzen,Сбросить пароль,Скинути пароль,重置密码,重設密碼
BUTTON_START_MATCH,Start Match!,¡Empezar partida!,,Match starten!,Начать матч!,Почни матч!,开始比赛！,開始對戰！
CREDITS_TITLE,Credits,Créditos,,Credits,Авторы,Автори,点数,功勞
